id_x,user_id,courseid,grade_item,itemtype,finalgrade,timemodified,group
403,5,2,Video bài giảng bài 6,mod,7.7,0,khá
234,6,2,,course,4.1,1761576412,yếu
233,6,2,bài kiểm tra bài 1 - easy,mod,5.8,1761705327,yếu
241,6,2,bài kiểm tra bài 1 - hard,mod,4.0,0,yếu
240,6,2,bài kiểm tra bài 1 - medium,mod,4.2,0,yếu
243,6,2,bài kiểm tra bài 2 - easy,mod,5.4,0,yếu
245,6,2,bài kiểm tra bài 2 - hard,mod,5.2,0,yếu
244,6,2,bài kiểm tra bài 2 - medium,mod,4.9,0,yếu
249,6,2,bài kiểm tra bài 3 - hard,mod,3.8,0,yếu
248,6,2,bài kiểm tra bài 3 - medium,mod,4.7,0,yếu
253,6,2,Bài kiểm tra bài 4 - hard,mod,4.1,0,yếu
252,6,2,Bài kiểm tra bài 4 - medium,mod,3.7,0,yếu
257,6,2,Bài kiểm tra bài 5 - hard,mod,4.4,0,yếu
256,6,2,Bài kiểm tra bài 5 - medium,mod,3.2,0,yếu
261,6,2,Bài kiểm tra bài 6 - hard,mod,3.2,0,yếu
260,6,2,Bài kiểm tra bài 6 - medium,mod,3.3,0,yếu
235,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,3.8,0,yếu
236,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,4.6,0,yếu
237,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,3.7,0,yếu
238,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,4.4,0,yếu
247,6,2,Trắc nghiệm bài 3 - easy,mod,3.6,0,yếu
251,6,2,Trắc nghiệm bài 4 - easy,mod,3.8,0,yếu
255,6,2,Trắc nghiệm bài 5 - easy,mod,3.9,0,yếu
259,6,2,Trắc nghiệm bài 6 - easy,mod,4.6,0,yếu
239,6,2,Video bài giảng bài 1,mod,3.1,0,yếu
242,6,2,Video bài giảng bài 2,mod,4.5,0,yếu
246,6,2,Video bài giảng bài 3,mod,3.7,0,yếu
250,6,2,Video bài giảng bài 4,mod,4.7,0,yếu
254,6,2,Video bài giảng bài 5,mod,3.7,0,yếu
258,6,2,Video bài giảng bài 6,mod,4.4,0,yếu
118,7,2,,course,6.0,1761576247,khá
117,7,2,bài kiểm tra bài 1 - easy,mod,6.8,1761663590,khá
125,7,2,bài kiểm tra bài 1 - hard,mod,6.5,0,khá
124,7,2,bài kiểm tra bài 1 - medium,mod,7.4,0,khá
127,7,2,bài kiểm tra bài 2 - easy,mod,8.3,1761705491,khá
129,7,2,bài kiểm tra bài 2 - hard,mod,5.7,0,khá
128,7,2,bài kiểm tra bài 2 - medium,mod,7.9,0,khá
133,7,2,bài kiểm tra bài 3 - hard,mod,5.8,0,khá
132,7,2,bài kiểm tra bài 3 - medium,mod,7.8,0,khá
137,7,2,Bài kiểm tra bài 4 - hard,mod,6.2,0,khá
136,7,2,Bài kiểm tra bài 4 - medium,mod,7.3,0,khá
141,7,2,Bài kiểm tra bài 5 - hard,mod,6.6,0,khá
140,7,2,Bài kiểm tra bài 5 - medium,mod,6.2,0,khá
145,7,2,Bài kiểm tra bài 6 - hard,mod,7.1,0,khá
144,7,2,Bài kiểm tra bài 6 - medium,mod,7.8,0,khá
119,7,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,7.7,0,khá
120,7,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,6.1,0,khá
121,7,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,6.7,0,khá
122,7,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,6.9,0,khá
131,7,2,Trắc nghiệm bài 3 - easy,mod,7.0,0,khá
135,7,2,Trắc nghiệm bài 4 - easy,mod,8.4,0,khá
139,7,2,Trắc nghiệm bài 5 - easy,mod,8.5,0,khá
143,7,2,Trắc nghiệm bài 6 - easy,mod,7.9,0,khá
123,7,2,Video bài giảng bài 1,mod,7.2,0,khá
126,7,2,Video bài giảng bài 2,mod,7.0,0,khá
130,7,2,Video bài giảng bài 3,mod,7.8,0,khá
134,7,2,Video bài giảng bài 4,mod,6.8,0,khá
138,7,2,Video bài giảng bài 5,mod,7.8,0,khá
142,7,2,Video bài giảng bài 6,mod,7.2,0,khá
263,8,2,,course,3.5,1761576416,yếu
262,8,2,bài kiểm tra bài 1 - easy,mod,4.5,1761705347,yếu
270,8,2,bài kiểm tra bài 1 - hard,mod,5.0,0,yếu
269,8,2,bài kiểm tra bài 1 - medium,mod,4.9,0,yếu
272,8,2,bài kiểm tra bài 2 - easy,mod,4.2,0,yếu
274,8,2,bài kiểm tra bài 2 - hard,mod,3.0,0,yếu
273,8,2,bài kiểm tra bài 2 - medium,mod,4.7,0,yếu
278,8,2,bài kiểm tra bài 3 - hard,mod,4.7,0,yếu
277,8,2,bài kiểm tra bài 3 - medium,mod,3.6,0,yếu
282,8,2,Bài kiểm tra bài 4 - hard,mod,2.9,0,yếu
281,8,2,Bài kiểm tra bài 4 - medium,mod,5.1,0,yếu
286,8,2,Bài kiểm tra bài 5 - hard,mod,4.5,0,yếu
285,8,2,Bài kiểm tra bài 5 - medium,mod,3.5,0,yếu
290,8,2,Bài kiểm tra bài 6 - hard,mod,3.7,0,yếu
289,8,2,Bài kiểm tra bài 6 - medium,mod,4.6,0,yếu
264,8,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,4.0,0,yếu
265,8,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,5.3,0,yếu
266,8,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,4.8,0,yếu
267,8,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,3.9,0,yếu
276,8,2,Trắc nghiệm bài 3 - easy,mod,4.2,0,yếu
280,8,2,Trắc nghiệm bài 4 - easy,mod,6.0,0,yếu
284,8,2,Trắc nghiệm bài 5 - easy,mod,6.2,0,yếu
288,8,2,Trắc nghiệm bài 6 - easy,mod,6.1,0,yếu
268,8,2,Video bài giảng bài 1,mod,4.8,0,yếu
271,8,2,Video bài giảng bài 2,mod,4.9,0,yếu
275,8,2,Video bài giảng bài 3,mod,4.5,0,yếu
279,8,2,Video bài giảng bài 4,mod,5.7,0,yếu
283,8,2,Video bài giảng bài 5,mod,4.2,0,yếu
287,8,2,Video bài giảng bài 6,mod,4.7,0,yếu
147,9,2,,course,7.5,1761576249,khá
146,9,2,bài kiểm tra bài 1 - easy,mod,7.3,1761663671,khá
154,9,2,bài kiểm tra bài 1 - hard,mod,5.7,0,khá
153,9,2,bài kiểm tra bài 1 - medium,mod,6.2,0,khá
156,9,2,bài kiểm tra bài 2 - easy,mod,6.8,1761705596,khá
158,9,2,bài kiểm tra bài 2 - hard,mod,7.4,0,khá
157,9,2,bài kiểm tra bài 2 - medium,mod,7.7,0,khá
162,9,2,bài kiểm tra bài 3 - hard,mod,6.2,0,khá
161,9,2,bài kiểm tra bài 3 - medium,mod,6.6,0,khá
166,9,2,Bài kiểm tra bài 4 - hard,mod,6.2,0,khá
165,9,2,Bài kiểm tra bài 4 - medium,mod,7.9,0,khá
170,9,2,Bài kiểm tra bài 5 - hard,mod,6.2,0,khá
169,9,2,Bài kiểm tra bài 5 - medium,mod,6.4,0,khá
174,9,2,Bài kiểm tra bài 6 - hard,mod,7.4,0,khá
173,9,2,Bài kiểm tra bài 6 - medium,mod,7.8,0,khá
148,9,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,6.7,0,khá
149,9,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,7.1,0,khá
150,9,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,7.8,0,khá
151,9,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,7.3,0,khá
160,9,2,Trắc nghiệm bài 3 - easy,mod,8.4,0,khá
164,9,2,Trắc nghiệm bài 4 - easy,mod,6.9,0,khá
168,9,2,Trắc nghiệm bài 5 - easy,mod,6.5,0,khá
172,9,2,Trắc nghiệm bài 6 - easy,mod,7.5,0,khá
152,9,2,Video bài giảng bài 1,mod,6.0,0,khá
155,9,2,Video bài giảng bài 2,mod,7.4,0,khá
159,9,2,Video bài giảng bài 3,mod,6.8,0,khá
163,9,2,Video bài giảng bài 4,mod,7.8,0,khá
167,9,2,Video bài giảng bài 5,mod,6.1,0,khá
171,9,2,Video bài giảng bài 6,mod,7.0,0,khá
176,10,2,,course,7.9,1761576314,giỏi
175,10,2,bài kiểm tra bài 1 - easy,mod,9.4,1761663841,giỏi
183,10,2,bài kiểm tra bài 1 - hard,mod,7.3,0,giỏi
182,10,2,bài kiểm tra bài 1 - medium,mod,7.8,0,giỏi
185,10,2,bài kiểm tra bài 2 - easy,mod,8.8,0,giỏi
187,10,2,bài kiểm tra bài 2 - hard,mod,9.2,1761705301,giỏi
186,10,2,bài kiểm tra bài 2 - medium,mod,8.3,1761705090,giỏi
191,10,2,bài kiểm tra bài 3 - hard,mod,7.4,0,giỏi
190,10,2,bài kiểm tra bài 3 - medium,mod,7.5,0,giỏi
195,10,2,Bài kiểm tra bài 4 - hard,mod,9.1,0,giỏi
194,10,2,Bài kiểm tra bài 4 - medium,mod,8.8,0,giỏi
199,10,2,Bài kiểm tra bài 5 - hard,mod,7.0,0,giỏi
198,10,2,Bài kiểm tra bài 5 - medium,mod,8.5,0,giỏi
203,10,2,Bài kiểm tra bài 6 - hard,mod,7.5,0,giỏi
202,10,2,Bài kiểm tra bài 6 - medium,mod,8.3,0,giỏi
177,10,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,9.0,0,giỏi
178,10,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,8.5,0,giỏi
179,10,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,7.8,0,giỏi
180,10,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,8.3,0,giỏi
189,10,2,Trắc nghiệm bài 3 - easy,mod,8.5,0,giỏi
193,10,2,Trắc nghiệm bài 4 - easy,mod,9.1,0,giỏi
197,10,2,Trắc nghiệm bài 5 - easy,mod,8.7,0,giỏi
201,10,2,Trắc nghiệm bài 6 - easy,mod,9.6,0,giỏi
181,10,2,Video bài giảng bài 1,mod,9.7,0,giỏi
184,10,2,Video bài giảng bài 2,mod,7.9,0,giỏi
188,10,2,Video bài giảng bài 3,mod,9.3,0,giỏi
192,10,2,Video bài giảng bài 4,mod,7.7,0,giỏi
196,10,2,Video bài giảng bài 5,mod,7.6,0,giỏi
200,10,2,Video bài giảng bài 6,mod,7.6,0,giỏi
292,11,2,,course,4.1,1761576417,yếu
291,11,2,bài kiểm tra bài 1 - easy,mod,6.4,1761705659,yếu
299,11,2,bài kiểm tra bài 1 - hard,mod,3.6,0,yếu
298,11,2,bài kiểm tra bài 1 - medium,mod,3.3,0,yếu
301,11,2,bài kiểm tra bài 2 - easy,mod,4.7,0,yếu
303,11,2,bài kiểm tra bài 2 - hard,mod,5.1,0,yếu
302,11,2,bài kiểm tra bài 2 - medium,mod,4.4,0,yếu
307,11,2,bài kiểm tra bài 3 - hard,mod,4.7,0,yếu
306,11,2,bài kiểm tra bài 3 - medium,mod,4.7,0,yếu
311,11,2,Bài kiểm tra bài 4 - hard,mod,5.3,0,yếu
310,11,2,Bài kiểm tra bài 4 - medium,mod,4.7,0,yếu
315,11,2,Bài kiểm tra bài 5 - hard,mod,2.7,0,yếu
314,11,2,Bài kiểm tra bài 5 - medium,mod,4.3,0,yếu
319,11,2,Bài kiểm tra bài 6 - hard,mod,2.7,0,yếu
318,11,2,Bài kiểm tra bài 6 - medium,mod,4.6,0,yếu
293,11,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,3.7,0,yếu
294,11,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,4.7,0,yếu
295,11,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,3.3,0,yếu
296,11,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,5.6,0,yếu
305,11,2,Trắc nghiệm bài 3 - easy,mod,5.1,0,yếu
309,11,2,Trắc nghiệm bài 4 - easy,mod,6.0,0,yếu
313,11,2,Trắc nghiệm bài 5 - easy,mod,5.8,0,yếu
317,11,2,Trắc nghiệm bài 6 - easy,mod,5.9,0,yếu
297,11,2,Video bài giảng bài 1,mod,4.8,0,yếu
300,11,2,Video bài giảng bài 2,mod,3.4,0,yếu
304,11,2,Video bài giảng bài 3,mod,3.6,0,yếu
308,11,2,Video bài giảng bài 4,mod,3.2,0,yếu
312,11,2,Video bài giảng bài 5,mod,5.8,0,yếu
316,11,2,Video bài giảng bài 6,mod,5.4,0,yếu
205,12,2,,course,7.1,1761576252,khá
204,12,2,bài kiểm tra bài 1 - easy,mod,7.7,1761663720,khá
212,12,2,bài kiểm tra bài 1 - hard,mod,7.4,0,khá
211,12,2,bài kiểm tra bài 1 - medium,mod,7.2,0,khá
214,12,2,bài kiểm tra bài 2 - easy,mod,7.4,1761705607,khá
216,12,2,bài kiểm tra bài 2 - hard,mod,6.6,0,khá
215,12,2,bài kiểm tra bài 2 - medium,mod,7.7,0,khá
220,12,2,bài kiểm tra bài 3 - hard,mod,5.7,0,khá
219,12,2,bài kiểm tra bài 3 - medium,mod,6.2,0,khá
224,12,2,Bài kiểm tra bài 4 - hard,mod,5.6,0,khá
223,12,2,Bài kiểm tra bài 4 - medium,mod,6.1,0,khá
228,12,2,Bài kiểm tra bài 5 - hard,mod,6.7,0,khá
227,12,2,Bài kiểm tra bài 5 - medium,mod,7.1,0,khá
232,12,2,Bài kiểm tra bài 6 - hard,mod,6.9,0,khá
231,12,2,Bài kiểm tra bài 6 - medium,mod,6.1,0,khá
206,12,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,6.2,0,khá
207,12,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,6.4,0,khá
208,12,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,7.3,0,khá
209,12,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,6.4,0,khá
218,12,2,Trắc nghiệm bài 3 - easy,mod,8.2,0,khá
222,12,2,Trắc nghiệm bài 4 - easy,mod,7.3,0,khá
226,12,2,Trắc nghiệm bài 5 - easy,mod,6.9,0,khá
230,12,2,Trắc nghiệm bài 6 - easy,mod,7.4,0,khá
210,12,2,Video bài giảng bài 1,mod,7.6,0,khá
213,12,2,Video bài giảng bài 2,mod,7.8,0,khá
217,12,2,Video bài giảng bài 3,mod,6.1,0,khá
221,12,2,Video bài giảng bài 4,mod,7.5,0,khá
225,12,2,Video bài giảng bài 5,mod,7.3,0,khá
229,12,2,Video bài giảng bài 6,mod,6.2,0,khá
321,13,2,,course,5.2,1761576423,yếu
320,13,2,bài kiểm tra bài 1 - easy,mod,5.4,1761705545,yếu
328,13,2,bài kiểm tra bài 1 - hard,mod,4.4,0,yếu
327,13,2,bài kiểm tra bài 1 - medium,mod,5.9,0,yếu
330,13,2,bài kiểm tra bài 2 - easy,mod,5.9,0,yếu
332,13,2,bài kiểm tra bài 2 - hard,mod,4.0,0,yếu
331,13,2,bài kiểm tra bài 2 - medium,mod,5.1,0,yếu
336,13,2,bài kiểm tra bài 3 - hard,mod,5.5,0,yếu
335,13,2,bài kiểm tra bài 3 - medium,mod,3.1,0,yếu
340,13,2,Bài kiểm tra bài 4 - hard,mod,3.8,0,yếu
339,13,2,Bài kiểm tra bài 4 - medium,mod,4.0,0,yếu
344,13,2,Bài kiểm tra bài 5 - hard,mod,3.8,0,yếu
343,13,2,Bài kiểm tra bài 5 - medium,mod,4.4,0,yếu
348,13,2,Bài kiểm tra bài 6 - hard,mod,5.5,0,yếu
347,13,2,Bài kiểm tra bài 6 - medium,mod,3.6,0,yếu
322,13,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,5.0,0,yếu
323,13,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,4.5,0,yếu
324,13,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,4.3,0,yếu
325,13,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,3.4,0,yếu
334,13,2,Trắc nghiệm bài 3 - easy,mod,5.2,0,yếu
338,13,2,Trắc nghiệm bài 4 - easy,mod,4.8,0,yếu
342,13,2,Trắc nghiệm bài 5 - easy,mod,4.8,0,yếu
346,13,2,Trắc nghiệm bài 6 - easy,mod,5.6,0,yếu
326,13,2,Video bài giảng bài 1,mod,4.3,0,yếu
329,13,2,Video bài giảng bài 2,mod,4.9,0,yếu
333,13,2,Video bài giảng bài 3,mod,4.2,0,yếu
337,13,2,Video bài giảng bài 4,mod,4.1,0,yếu
341,13,2,Video bài giảng bài 5,mod,4.5,0,yếu
345,13,2,Video bài giảng bài 6,mod,5.9,0,yếu
814,14,2,,course,7.5,0,khá
820,14,2,bài kiểm tra bài 1 - easy,mod,8.4,0,khá
822,14,2,bài kiểm tra bài 1 - hard,mod,6.8,0,khá
821,14,2,bài kiểm tra bài 1 - medium,mod,7.6,0,khá
813,14,2,bài kiểm tra bài 2 - easy,mod,7.8,0,khá
825,14,2,bài kiểm tra bài 2 - hard,mod,6.4,0,khá
824,14,2,bài kiểm tra bài 2 - medium,mod,6.8,0,khá
829,14,2,bài kiểm tra bài 3 - hard,mod,6.6,0,khá
828,14,2,bài kiểm tra bài 3 - medium,mod,7.8,0,khá
833,14,2,Bài kiểm tra bài 4 - hard,mod,6.3,0,khá
832,14,2,Bài kiểm tra bài 4 - medium,mod,6.4,0,khá
837,14,2,Bài kiểm tra bài 5 - hard,mod,6.9,0,khá
836,14,2,Bài kiểm tra bài 5 - medium,mod,6.6,0,khá
841,14,2,Bài kiểm tra bài 6 - hard,mod,6.3,0,khá
840,14,2,Bài kiểm tra bài 6 - medium,mod,8.0,0,khá
815,14,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,6.6,0,khá
816,14,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,6.2,0,khá
817,14,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,6.9,0,khá
818,14,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,7.9,0,khá
827,14,2,Trắc nghiệm bài 3 - easy,mod,8.1,0,khá
831,14,2,Trắc nghiệm bài 4 - easy,mod,8.1,0,khá
835,14,2,Trắc nghiệm bài 5 - easy,mod,6.6,0,khá
839,14,2,Trắc nghiệm bài 6 - easy,mod,8.0,0,khá
819,14,2,Video bài giảng bài 1,mod,7.7,0,khá
823,14,2,Video bài giảng bài 2,mod,8.0,0,khá
826,14,2,Video bài giảng bài 3,mod,7.0,0,khá
830,14,2,Video bài giảng bài 4,mod,6.7,0,khá
834,14,2,Video bài giảng bài 5,mod,6.4,0,khá
838,14,2,Video bài giảng bài 6,mod,6.1,0,khá
669,15,2,,course,3.0,0,yếu
668,15,2,bài kiểm tra bài 1 - easy,mod,5.9,0,yếu
676,15,2,bài kiểm tra bài 1 - hard,mod,4.5,0,yếu
675,15,2,bài kiểm tra bài 1 - medium,mod,3.0,0,yếu
678,15,2,bài kiểm tra bài 2 - easy,mod,3.9,0,yếu
680,15,2,bài kiểm tra bài 2 - hard,mod,3.7,0,yếu
679,15,2,bài kiểm tra bài 2 - medium,mod,3.2,0,yếu
684,15,2,bài kiểm tra bài 3 - hard,mod,4.5,0,yếu
683,15,2,bài kiểm tra bài 3 - medium,mod,4.6,0,yếu
688,15,2,Bài kiểm tra bài 4 - hard,mod,4.5,0,yếu
687,15,2,Bài kiểm tra bài 4 - medium,mod,5.6,0,yếu
692,15,2,Bài kiểm tra bài 5 - hard,mod,4.4,0,yếu
691,15,2,Bài kiểm tra bài 5 - medium,mod,3.2,0,yếu
696,15,2,Bài kiểm tra bài 6 - hard,mod,5.1,0,yếu
695,15,2,Bài kiểm tra bài 6 - medium,mod,5.9,0,yếu
670,15,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,3.7,0,yếu
671,15,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,3.5,0,yếu
672,15,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,5.0,0,yếu
673,15,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,5.7,0,yếu
682,15,2,Trắc nghiệm bài 3 - easy,mod,5.5,0,yếu
686,15,2,Trắc nghiệm bài 4 - easy,mod,4.5,0,yếu
690,15,2,Trắc nghiệm bài 5 - easy,mod,4.3,0,yếu
694,15,2,Trắc nghiệm bài 6 - easy,mod,6.0,0,yếu
674,15,2,Video bài giảng bài 1,mod,3.4,0,yếu
677,15,2,Video bài giảng bài 2,mod,5.8,0,yếu
681,15,2,Video bài giảng bài 3,mod,3.5,0,yếu
685,15,2,Video bài giảng bài 4,mod,5.1,0,yếu
689,15,2,Video bài giảng bài 5,mod,5.2,0,yếu
693,15,2,Video bài giảng bài 6,mod,4.1,0,yếu
698,16,2,,course,6.7,0,khá
704,16,2,bài kiểm tra bài 1 - easy,mod,6.7,0,khá
706,16,2,bài kiểm tra bài 1 - hard,mod,7.5,0,khá
705,16,2,bài kiểm tra bài 1 - medium,mod,7.1,0,khá
697,16,2,bài kiểm tra bài 2 - easy,mod,6.9,0,khá
709,16,2,bài kiểm tra bài 2 - hard,mod,5.6,0,khá
708,16,2,bài kiểm tra bài 2 - medium,mod,7.0,0,khá
713,16,2,bài kiểm tra bài 3 - hard,mod,5.9,0,khá
712,16,2,bài kiểm tra bài 3 - medium,mod,7.9,0,khá
717,16,2,Bài kiểm tra bài 4 - hard,mod,6.1,0,khá
716,16,2,Bài kiểm tra bài 4 - medium,mod,7.0,0,khá
721,16,2,Bài kiểm tra bài 5 - hard,mod,5.7,0,khá
720,16,2,Bài kiểm tra bài 5 - medium,mod,6.9,0,khá
725,16,2,Bài kiểm tra bài 6 - hard,mod,6.7,0,khá
724,16,2,Bài kiểm tra bài 6 - medium,mod,6.0,0,khá
699,16,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,7.3,0,khá
700,16,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,6.5,0,khá
701,16,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,6.0,0,khá
702,16,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,7.4,0,khá
711,16,2,Trắc nghiệm bài 3 - easy,mod,7.6,0,khá
715,16,2,Trắc nghiệm bài 4 - easy,mod,7.1,0,khá
719,16,2,Trắc nghiệm bài 5 - easy,mod,8.4,0,khá
723,16,2,Trắc nghiệm bài 6 - easy,mod,7.4,0,khá
703,16,2,Video bài giảng bài 1,mod,6.5,0,khá
707,16,2,Video bài giảng bài 2,mod,7.2,0,khá
710,16,2,Video bài giảng bài 3,mod,7.7,0,khá
714,16,2,Video bài giảng bài 4,mod,7.2,0,khá
718,16,2,Video bài giảng bài 5,mod,7.1,0,khá
722,16,2,Video bài giảng bài 6,mod,7.9,0,khá
727,17,2,,course,6.8,0,khá
733,17,2,bài kiểm tra bài 1 - easy,mod,7.9,0,khá
735,17,2,bài kiểm tra bài 1 - hard,mod,6.5,0,khá
734,17,2,bài kiểm tra bài 1 - medium,mod,7.5,0,khá
726,17,2,bài kiểm tra bài 2 - easy,mod,8.4,0,khá
738,17,2,bài kiểm tra bài 2 - hard,mod,7.5,0,khá
737,17,2,bài kiểm tra bài 2 - medium,mod,6.7,0,khá
742,17,2,bài kiểm tra bài 3 - hard,mod,7.4,0,khá
741,17,2,bài kiểm tra bài 3 - medium,mod,7.8,0,khá
746,17,2,Bài kiểm tra bài 4 - hard,mod,5.9,0,khá
745,17,2,Bài kiểm tra bài 4 - medium,mod,6.7,0,khá
750,17,2,Bài kiểm tra bài 5 - hard,mod,7.2,0,khá
749,17,2,Bài kiểm tra bài 5 - medium,mod,7.8,0,khá
754,17,2,Bài kiểm tra bài 6 - hard,mod,6.8,0,khá
753,17,2,Bài kiểm tra bài 6 - medium,mod,7.4,0,khá
728,17,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,6.2,0,khá
729,17,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,6.3,0,khá
730,17,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,7.2,0,khá
731,17,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,6.2,0,khá
740,17,2,Trắc nghiệm bài 3 - easy,mod,8.4,0,khá
744,17,2,Trắc nghiệm bài 4 - easy,mod,7.9,0,khá
748,17,2,Trắc nghiệm bài 5 - easy,mod,7.3,0,khá
752,17,2,Trắc nghiệm bài 6 - easy,mod,7.9,0,khá
732,17,2,Video bài giảng bài 1,mod,7.3,0,khá
736,17,2,Video bài giảng bài 2,mod,7.1,0,khá
739,17,2,Video bài giảng bài 3,mod,6.3,0,khá
743,17,2,Video bài giảng bài 4,mod,7.8,0,khá
747,17,2,Video bài giảng bài 5,mod,7.3,0,khá
751,17,2,Video bài giảng bài 6,mod,6.3,0,khá
843,18,2,,course,7.0,0,khá
849,18,2,bài kiểm tra bài 1 - easy,mod,7.5,0,khá
851,18,2,bài kiểm tra bài 1 - hard,mod,6.6,0,khá
850,18,2,bài kiểm tra bài 1 - medium,mod,7.5,0,khá
842,18,2,bài kiểm tra bài 2 - easy,mod,7.9,0,khá
854,18,2,bài kiểm tra bài 2 - hard,mod,6.7,0,khá
