userid,courseid,avg_time_per_quiz,avg_resource_views_per_day,quiz_success_rate,avg_quiz_score,resource_vs_quiz_ratio,cluster
176,5,15.94,19.49,0.89,8.5,3.5,1
177,5,20.22,16.34,0.78,6.89,2.68,0
178,5,18.02,12.32,0.66,6.52,1.84,0
179,5,22.02,13.68,0.75,6.57,2.19,0
180,5,12.49,9.45,0.64,7.61,1.39,0
181,5,18.85,8.98,0.6,4.72,1.28,0
182,5,16.21,9.43,0.56,6.9,1.31,0
183,5,10.41,15.05,0.88,7.44,2.69,1
184,5,17.4,15.76,0.74,7.77,2.5,0
185,5,18.44,6.55,0.55,6.13,0.9,0
186,5,12.48,13.79,0.68,7.63,2.1,0
187,5,10.36,17.53,0.94,9.04,3.31,1
188,5,20.58,11.2,0.68,8.17,1.7,0
189,5,24.4,14.1,0.79,7.18,2.34,0
190,5,12.59,16.33,0.77,8.29,2.65,1
191,5,10.72,14.52,0.7,5.91,2.23,0
192,5,20.21,15.11,0.8,8.79,2.51,1
193,5,19.41,15.81,0.76,7.19,2.55,0
194,5,13.45,14.62,0.73,8.05,2.3,0
195,5,24.76,14.48,0.73,5.93,2.29,0
196,5,14.42,14.86,0.79,6.72,2.46,0
197,5,24.23,19.45,0.97,10.0,3.76,1
198,5,20.71,16.73,0.93,8.89,3.12,1
199,5,22.44,13.69,0.71,5.83,2.12,0
200,5,10.32,18.24,0.98,8.77,3.57,1
201,5,22.22,16.77,0.88,7.68,2.99,1
202,5,12.32,19.47,0.95,10.0,3.73,1
203,5,13.75,12.82,0.7,6.94,1.97,0
204,5,15.86,13.64,0.77,7.0,2.21,0
205,5,24.15,14.06,0.83,7.83,2.41,0
206,5,23.23,14.05,0.77,8.85,2.28,0
207,5,18.37,12.76,0.68,6.74,1.93,0
208,5,19.56,12.4,0.8,7.48,2.07,0
209,5,10.09,14.57,0.71,8.16,2.25,0
210,5,21.22,15.13,0.71,6.76,2.35,0
211,5,12.87,14.32,0.87,8.99,2.53,1
212,5,16.98,16.09,0.93,8.96,3.0,1
213,5,17.87,15.63,0.85,8.94,2.71,1
214,5,12.37,12.29,0.77,8.71,2.0,0
215,5,13.67,12.87,0.83,7.4,2.19,0
216,5,17.84,16.63,0.84,9.64,2.86,1
217,5,16.27,16.02,0.81,8.69,2.69,1
218,5,17.15,18.18,0.96,8.81,3.48,1
219,5,20.79,15.47,0.85,7.36,2.69,1
220,5,13.94,18.19,0.83,8.58,3.1,1
221,5,21.61,16.36,0.92,7.84,3.03,1
222,5,13.45,13.81,0.68,8.04,2.09,0
223,5,10.59,13.35,0.7,7.56,2.06,0
224,5,12.09,13.07,0.65,7.22,1.93,0
225,5,20.38,13.65,0.67,7.2,2.06,0
226,5,14.8,8.6,0.63,7.22,1.26,0
227,5,24.03,7.31,0.48,5.57,0.96,0
228,5,22.79,18.67,0.84,8.46,3.23,1
229,5,17.84,8.9,0.54,6.78,1.22,0
230,5,15.72,12.38,0.74,8.65,1.97,0
231,5,20.71,16.28,0.89,7.43,2.93,1
232,5,15.74,22.19,0.97,9.15,4.3,1
233,5,11.88,13.49,0.71,6.4,2.08,0
234,5,21.56,16.45,0.75,6.56,2.64,0
235,5,19.9,15.6,0.9,9.16,2.83,1
236,5,16.31,12.37,0.78,6.86,2.02,0
237,5,11.88,11.68,0.8,7.17,1.94,0
238,5,13.31,18.99,0.96,9.89,3.65,1
239,5,22.2,15.37,0.74,7.49,2.44,0
240,5,24.48,10.66,0.74,8.03,1.7,0
241,5,16.98,14.5,0.81,7.48,2.45,0
242,5,12.02,12.77,0.72,7.14,1.99,0
243,5,19.32,16.72,0.86,8.71,2.93,1
244,5,15.66,13.7,0.85,8.89,2.38,1
245,5,20.29,12.19,0.7,8.1,1.88,0
246,5,11.21,14.82,0.72,6.95,2.32,0
247,5,11.07,14.39,0.69,7.94,2.2,0
248,5,16.54,13.9,0.79,8.48,2.3,0
249,5,12.35,15.52,0.78,9.13,2.54,1
250,5,20.13,16.15,0.88,9.66,2.89,1
251,5,16.01,13.78,0.79,8.51,2.29,0
252,5,14.48,17.46,0.84,7.0,3.02,1
253,5,19.33,15.85,0.85,9.65,2.75,1
254,5,15.93,15.64,0.74,7.63,2.48,0
255,5,20.0,10.35,0.7,5.84,1.6,0
256,5,10.4,14.53,0.69,8.04,2.22,0
257,5,20.83,17.99,0.85,8.71,3.13,1
258,5,11.23,11.96,0.62,6.57,1.73,0
259,5,14.04,13.82,0.83,7.92,2.37,0
260,5,17.73,13.91,0.74,7.21,2.2,0
261,5,16.52,15.06,0.8,7.26,2.51,0
262,5,21.85,11.51,0.66,6.52,1.71,0
263,5,10.88,16.43,0.76,7.56,2.65,0
264,5,24.59,15.86,0.8,6.99,2.64,0
265,5,13.05,15.23,0.77,7.52,2.47,0
266,5,18.16,12.51,0.79,6.76,2.06,0
267,5,11.47,13.27,0.81,7.97,2.23,0
268,5,15.87,16.33,0.77,7.87,2.65,1
269,5,23.52,8.92,0.62,6.65,1.29,0
270,5,22.1,17.8,0.95,8.57,3.39,1
271,5,23.72,15.86,0.88,7.75,2.84,1
272,5,24.11,16.24,0.77,7.27,2.65,0
273,5,16.21,15.52,0.81,8.53,2.61,1
274,5,20.67,13.09,0.67,5.6,1.97,0
275,5,21.77,10.98,0.68,5.78,1.67,0
276,5,21.96,17.19,0.85,9.11,2.99,1
277,5,11.28,15.15,0.88,7.72,2.71,1
278,5,22.97,14.3,0.69,7.18,2.18,0
279,5,22.28,14.64,0.84,8.63,2.52,1
280,5,24.43,18.65,0.88,8.16,3.34,1
281,5,19.21,10.53,0.76,7.25,1.69,0
282,5,24.51,18.3,0.84,9.07,3.16,1
283,5,20.04,20.7,0.95,10.0,3.96,1
284,5,15.67,14.13,0.8,7.65,2.36,0
285,5,15.08,16.65,0.85,8.34,2.9,1
286,5,20.95,15.08,0.8,7.92,2.52,1
287,5,16.4,17.04,0.82,8.22,2.88,1
288,5,11.15,17.22,0.83,7.01,2.94,1
289,5,19.99,14.42,0.81,8.96,2.41,1
290,5,12.0,14.65,0.8,8.17,2.44,0
291,5,22.69,12.92,0.7,7.68,1.98,0
292,5,13.39,19.1,0.88,7.3,3.4,1
293,5,20.44,17.93,0.86,8.78,3.15,1
294,5,24.51,16.62,0.84,8.78,2.86,1
295,5,23.96,12.18,0.65,6.5,1.81,0
296,5,11.14,15.22,0.85,7.14,2.65,1
297,5,13.96,16.92,0.8,7.99,2.82,1
298,5,12.81,12.92,0.78,6.36,2.11,0
299,5,23.59,14.31,0.7,8.04,2.2,0
300,5,19.8,18.42,0.81,8.01,3.11,1
301,5,24.58,14.32,0.74,8.42,2.27,0
302,5,19.91,13.24,0.69,7.59,2.02,0
303,5,10.13,16.02,0.89,8.38,2.9,1
304,5,11.1,16.18,0.76,7.12,2.62,0
305,5,20.77,11.63,0.72,7.04,1.82,0
306,5,22.44,12.87,0.7,8.3,1.98,0
307,5,20.86,13.49,0.75,8.47,2.16,0
308,5,20.96,17.61,0.79,8.84,2.91,1
309,5,19.0,21.04,0.89,9.84,3.8,1
310,5,22.8,11.34,0.72,6.37,1.77,0
311,5,18.98,10.78,0.58,6.13,1.52,0
312,5,18.62,16.77,0.91,9.63,3.06,1
313,5,11.7,8.88,0.66,5.69,1.32,0
314,5,14.97,16.59,0.82,9.26,2.82,1
315,5,13.34,12.04,0.66,5.7,1.8,0
316,5,19.23,13.91,0.72,6.34,2.18,0
317,5,19.73,12.13,0.72,8.39,1.9,0
318,5,14.12,10.19,0.56,4.19,1.42,0
319,5,24.66,13.55,0.81,6.67,2.27,0
320,5,12.74,15.76,0.81,9.33,2.65,1
321,5,15.58,13.38,0.79,7.75,2.21,0
322,5,14.69,14.04,0.68,6.03,2.13,0
323,5,17.66,16.94,0.85,9.59,2.95,1
324,5,25.0,13.38,0.78,8.61,2.19,0
325,5,16.26,17.27,0.94,8.02,3.27,1
326,5,18.28,13.42,0.67,7.4,2.01,0
327,5,12.69,12.54,0.7,6.35,1.93,0
328,5,12.28,14.23,0.79,7.46,2.35,0
329,5,10.35,13.75,0.71,6.6,2.13,0
330,5,20.39,15.24,0.74,8.51,2.43,0
331,5,11.34,12.18,0.73,7.83,1.92,0
332,5,17.67,13.46,0.71,7.05,2.09,0
333,5,11.9,15.29,0.87,9.52,2.7,1
334,5,13.22,14.36,0.75,8.75,2.29,0
335,5,13.93,14.95,0.74,7.97,2.38,0
336,5,12.13,12.35,0.64,5.68,1.82,0
337,5,11.46,16.04,0.75,7.72,2.56,0
338,5,15.99,18.52,0.85,9.73,3.23,1
339,5,18.61,14.39,0.71,8.03,2.23,0
340,5,15.37,15.63,0.84,9.34,2.69,1
341,5,16.33,15.49,0.72,6.22,2.43,0
342,5,22.28,11.48,0.73,7.8,1.81,0
343,5,24.11,15.35,0.72,8.0,2.39,0
344,5,10.72,17.23,0.88,8.22,3.07,1
345,5,18.85,18.29,0.86,8.63,3.21,1
346,5,21.7,9.15,0.66,8.02,1.37,0
347,5,14.41,16.4,0.85,9.32,2.86,1
348,5,13.3,13.69,0.77,6.23,2.23,0
349,5,23.87,16.84,0.83,7.98,2.89,1
350,5,21.38,15.13,0.71,7.44,2.34,0
351,5,21.32,18.12,0.8,7.26,3.02,1
352,5,17.12,14.11,0.77,6.97,2.3,0
353,5,24.9,13.86,0.85,8.7,2.41,1
354,5,11.45,15.31,0.72,6.09,2.39,0
355,5,22.35,15.3,0.87,9.66,2.72,1
356,5,13.06,12.69,0.75,6.17,2.02,0
357,5,16.8,16.78,0.84,8.98,2.89,1
358,5,11.81,21.07,1.0,8.69,4.21,1
359,5,16.25,13.31,0.83,7.42,2.28,0
360,5,14.28,19.56,0.98,9.17,3.83,1
361,5,24.35,19.0,0.97,10.0,3.7,1
362,5,11.89,17.21,0.86,8.45,3.03,1
363,5,18.16,23.88,1.0,10.0,4.78,1
364,5,10.45,9.37,0.64,6.72,1.38,0
365,5,14.52,12.45,0.69,7.37,1.9,0
366,5,14.33,14.94,0.87,9.75,2.65,1
367,5,15.73,11.09,0.73,6.41,1.74,0
368,5,19.8,15.81,0.84,9.27,2.73,1
369,5,10.2,13.4,0.8,8.32,2.24,0
370,5,24.36,12.99,0.64,6.32,1.92,0
371,5,23.17,15.12,0.79,6.96,2.5,0
372,5,11.03,14.69,0.71,6.6,2.28,0
373,5,23.92,11.97,0.74,6.3,1.9,0
374,5,10.42,15.35,0.71,8.27,2.38,0
375,5,11.81,15.87,0.84,8.82,2.75,1
376,5,22.66,21.1,1.0,9.44,4.22,1
377,5,24.86,17.7,0.87,9.19,3.14,1
378,5,21.39,11.13,0.63,6.13,1.63,0
379,5,20.0,16.24,0.75,8.19,2.6,1
380,5,18.21,11.98,0.64,7.75,1.76,0
381,5,13.28,15.92,0.76,6.7,2.57,0
382,5,11.66,11.57,0.76,8.44,1.86,0
383,5,23.59,18.51,0.87,7.58,3.28,1
384,5,24.05,11.91,0.8,8.8,1.98,0
385,5,16.46,10.56,0.58,6.36,1.49,0
386,5,13.5,15.8,0.79,7.55,2.61,0
387,5,11.06,11.35,0.76,8.45,1.84,0
388,5,24.4,15.93,0.92,9.38,2.94,1
389,5,12.86,16.45,0.92,8.99,3.04,1
390,5,21.62,19.02,0.96,8.63,3.67,1
391,5,11.76,17.94,0.86,8.16,3.13,1
392,5,20.84,15.52,0.89,8.42,2.8,1
393,5,21.71,16.45,0.88,8.98,2.93,1
394,5,11.44,15.28,0.87,8.94,2.71,1
395,5,19.59,18.25,0.89,8.6,3.29,1
396,5,18.15,15.08,0.87,10.0,2.66,1
397,5,23.69,14.3,0.7,6.67,2.2,0
398,5,22.68,16.53,0.93,9.92,3.1,1
399,5,14.56,18.17,0.91,8.26,3.33,1
400,5,19.26,13.64,0.74,7.45,2.16,0
401,5,22.14,10.0,0.63,6.07,1.46,0
402,5,12.16,20.13,1.0,10.0,4.03,1
403,5,22.74,17.35,0.92,10.0,3.22,1
404,5,19.33,13.52,0.72,8.05,2.11,0
405,5,19.38,15.26,0.79,7.17,2.53,0
406,5,23.3,14.25,0.71,8.29,2.21,0
407,5,20.17,10.42,0.63,6.27,1.52,0
408,5,24.8,12.78,0.77,6.95,2.08,0
409,5,12.1,16.17,0.93,10.0,3.02,1
410,5,19.54,11.18,0.64,6.68,1.65,0
411,5,18.87,15.94,0.81,6.91,2.69,0
412,5,21.96,16.88,0.79,8.17,2.8,1
413,5,12.66,14.25,0.84,7.66,2.46,0
414,5,13.97,13.3,0.74,6.91,2.11,0
415,5,13.87,15.97,0.81,9.42,2.67,1
416,5,19.87,13.74,0.77,6.43,2.24,0
417,5,12.1,17.21,0.96,10.0,3.31,1
418,5,10.01,12.71,0.73,6.86,2.01,0
419,5,12.77,13.75,0.71,6.7,2.13,0
420,5,22.67,13.5,0.77,7.96,2.19,0
421,5,16.62,18.36,0.97,9.79,3.58,1
422,5,13.71,12.04,0.71,5.91,1.87,0
423,5,15.98,19.01,0.94,8.39,3.59,1
424,5,22.04,16.51,0.84,9.35,2.85,1
425,5,18.48,12.05,0.64,6.02,1.77,0
426,5,20.95,19.66,0.96,8.49,3.77,1
427,5,19.04,15.17,0.86,7.67,2.66,1
428,5,10.46,16.23,0.89,8.42,2.92,1
429,5,15.97,14.97,0.72,6.7,2.33,0
430,5,14.32,11.09,0.75,7.07,1.78,0
431,5,11.47,12.81,0.67,7.37,1.93,0
432,5,17.57,12.86,0.67,7.06,1.93,0
433,5,15.36,18.42,0.99,10.0,3.65,1
434,5,16.18,17.23,0.88,9.18,3.08,1
435,5,11.28,17.83,0.98,10.0,3.51,1
436,5,14.5,9.54,0.58,6.9,1.35,0
437,5,14.46,14.01,0.85,7.22,2.44,0
438,5,20.89,12.55,0.79,8.9,2.07,0
439,5,18.45,17.86,0.92,8.94,3.31,1
440,5,20.33,12.08,0.71,7.06,1.88,0
441,5,15.4,14.19,0.72,6.1,2.22,0
442,5,14.07,12.05,0.63,6.97,1.75,0
443,5,14.36,17.62,0.91,9.65,3.24,1
444,5,16.6,18.17,0.91,8.5,3.32,1
445,5,22.91,16.16,0.92,9.57,2.99,1
446,5,18.72,16.25,0.88,9.81,2.9,1
447,5,19.33,8.57,0.64,5.57,1.26,0
448,5,20.9,12.48,0.66,7.36,1.86,0
449,5,18.52,15.63,0.79,7.9,2.59,1
450,5,10.2,16.55,0.93,9.89,3.08,1
451,5,13.75,17.86,0.89,7.55,3.23,1
452,5,20.84,16.9,0.95,8.72,3.22,1
453,5,24.08,10.58,0.63,6.29,1.54,0
454,5,12.32,10.06,0.69,7.7,1.54,0
455,5,11.36,11.33,0.71,6.48,1.75,0
456,5,24.19,10.42,0.7,7.52,1.61,0
457,5,14.81,14.61,0.75,7.56,2.34,0
458,5,13.4,13.95,0.7,5.77,2.14,0
459,5,13.89,17.86,0.92,10.0,3.3,1
460,5,14.77,16.95,0.94,8.68,3.19,1
461,5,24.51,11.38,0.63,5.25,1.66,0
462,5,14.06,10.22,0.67,6.91,1.54,0
463,5,11.18,15.53,0.85,9.39,2.7,1
464,5,13.21,19.22,0.98,8.9,3.76,1
465,5,13.81,18.4,0.85,7.98,3.2,1
466,5,24.27,14.43,0.7,7.73,2.23,0
467,5,20.54,15.28,0.91,7.87,2.79,1
468,5,13.27,15.46,0.8,7.24,2.57,0
469,5,13.35,9.05,0.69,5.63,1.38,0
470,5,11.48,16.72,0.8,7.49,2.78,1
471,5,13.59,15.41,0.9,9.52,2.81,1
472,5,23.8,14.68,0.86,7.17,2.57,1
473,5,15.98,14.9,0.79,6.46,2.47,0
474,5,21.02,13.08,0.83,8.2,2.24,0
475,5,13.01,17.19,0.82,9.05,2.92,1
476,5,18.6,14.21,0.85,8.58,2.47,1
477,5,21.58,16.37,0.88,7.56,2.93,1
478,5,15.13,19.53,1.0,9.97,3.91,1
479,5,22.92,15.01,0.89,8.71,2.7,1
480,5,23.24,15.65,0.91,9.14,2.88,1
481,5,17.48,21.89,0.95,9.37,4.17,1
482,5,18.87,16.04,0.86,7.72,2.81,1
483,5,24.09,13.82,0.77,6.2,2.24,0
484,5,16.57,13.82,0.84,9.44,2.39,1
485,5,18.87,12.93,0.69,6.96,1.97,0
486,5,12.84,16.7,0.78,7.01,2.75,0
487,5,21.28,17.42,0.88,8.47,3.1,1
488,5,18.54,17.52,0.9,9.35,3.19,1
489,5,14.6,19.38,1.0,8.66,3.88,1
490,5,23.58,9.41,0.73,5.98,1.48,0
491,5,18.1,9.91,0.68,5.72,1.5,0
492,5,22.62,15.78,0.79,8.12,2.61,1
493,5,16.33,12.58,0.77,7.71,2.05,0
494,5,12.05,15.48,0.91,9.39,2.83,1
495,5,24.62,13.7,0.75,6.75,2.2,0
496,5,20.47,15.22,0.86,9.7,2.67,1
497,5,12.37,18.1,0.8,7.91,3.01,1
498,5,22.91,11.45,0.65,5.67,1.7,0
499,5,13.27,17.42,0.96,8.34,3.34,1
500,5,15.87,10.41,0.71,6.54,1.61,0
501,5,16.35,13.43,0.84,9.05,2.32,1
502,5,20.96,21.71,1.0,10.0,4.34,1
503,5,19.78,22.1,1.0,9.3,4.42,1
504,5,14.48,16.19,0.75,7.31,2.58,0
505,5,10.32,13.14,0.71,7.68,2.04,0
506,5,16.67,9.62,0.57,5.61,1.34,0
507,5,19.93,12.49,0.69,8.13,1.9,0
508,5,23.07,14.34,0.8,6.69,2.4,0
509,5,21.56,8.83,0.61,6.2,1.27,0
510,5,24.11,17.54,0.82,7.52,2.96,1
511,5,14.88,14.53,0.73,8.73,2.29,0
512,5,23.2,14.23,0.75,6.86,2.28,0
513,5,18.81,13.69,0.68,6.07,2.07,0
514,5,14.41,12.9,0.71,7.64,1.99,0
515,5,20.65,15.37,0.74,6.98,2.44,0
516,5,22.84,15.38,0.85,9.04,2.67,1
517,5,11.57,9.52,0.69,6.84,1.45,0
518,5,12.54,16.07,0.82,6.75,2.73,0
519,5,18.33,12.44,0.7,7.14,1.92,0
520,5,15.25,14.14,0.78,8.92,2.31,0
521,5,19.88,17.26,0.96,10.0,3.33,1
522,5,16.18,20.52,0.89,7.41,3.68,1
523,5,20.86,15.19,0.79,6.73,2.51,0
524,5,15.75,13.14,0.72,7.8,2.05,0
525,5,13.95,12.72,0.78,8.38,2.08,0
526,5,12.91,12.29,0.76,7.55,1.98,0
527,5,18.97,12.1,0.79,8.87,2.0,0
528,5,15.66,13.06,0.67,5.65,1.97,0
529,5,12.55,13.49,0.71,7.11,2.09,0
530,5,10.48,12.96,0.74,8.79,2.05,0
531,5,18.41,19.37,0.85,8.07,3.36,1
532,5,15.54,16.78,0.79,9.01,2.78,1
533,5,10.63,21.33,1.0,10.0,4.27,1
