userid,courseid,avg_time_per_quiz,avg_resource_views_per_day,quiz_success_rate,avg_quiz_score,resource_vs_quiz_ratio,cluster
61,5,24.65,10.08,0.61,1.72,4.2,0
62,5,25.45,13.75,0.8,1.63,3.9,1
63,5,25.92,10.53,0.81,1.99,4.62,1
64,5,27.38,13.06,0.73,2.06,5.3,1
65,5,23.72,11.29,0.79,1.57,4.34,1
66,5,23.48,13.22,0.64,1.71,4.07,0
67,5,19.86,10.72,0.62,1.68,5.25,0
68,5,21.39,13.68,0.69,1.61,3.94,0
69,5,23.26,9.99,0.61,2.03,5.1,0
70,5,24.99,11.64,0.57,1.97,4.79,1
71,5,21.85,10.22,0.75,1.79,4.06,0
72,5,19.38,12.32,0.73,2.21,5.45,0
73,5,23.26,12.59,0.76,2.19,4.73,1
74,5,26.57,13.12,0.75,1.97,4.19,1
75,5,22.78,11.88,0.82,2.14,3.75,0
76,5,19.68,11.93,0.56,2.08,4.02,0
77,5,24.21,12.43,0.73,1.57,5.18,1
78,5,24.78,10.69,0.59,2.16,4.14,0
79,5,26.39,11.5,0.73,1.76,4.61,1
80,5,28.01,12.06,0.75,2.1,4.53,1
81,5,22.72,12.37,0.58,2.13,4.29,0
82,5,18.92,11.58,0.8,1.71,4.72,0
83,5,27.09,11.83,0.8,2.14,4.69,1
84,5,19.29,10.12,0.8,2.22,4.04,0
85,5,23.42,10.1,0.66,1.73,3.81,0
86,5,19.5,11.55,0.63,2.16,3.69,0
87,5,25.46,13.21,0.69,2.08,4.14,1
88,5,27.16,12.63,0.56,2.07,4.61,1
89,5,20.09,12.35,0.7,1.81,4.24,0
90,5,23.52,12.4,0.73,1.63,5.07,1
91,5,23.03,10.32,0.78,1.7,4.85,1
92,5,26.57,11.03,0.58,1.69,4.71,1
93,5,28.14,9.65,0.66,2.17,3.99,1
94,5,25.9,12.52,0.73,1.58,4.75,1
95,5,25.63,12.35,0.61,1.97,4.42,1
96,5,27.21,11.87,0.81,1.67,4.23,1
97,5,19.49,9.93,0.6,2.26,4.2,0
98,5,21.68,12.27,0.81,1.77,4.3,0
99,5,20.4,10.7,0.81,1.53,4.79,0
100,5,23.48,13.54,0.67,2.21,4.13,0
101,5,24.84,9.78,0.75,2.16,5.04,1
102,5,25.0,12.94,0.77,2.11,4.11,1
103,5,20.3,11.38,0.59,1.86,4.62,0
104,5,21.42,13.01,0.83,1.54,4.38,0
105,5,23.9,10.13,0.72,1.74,4.25,0
106,5,21.93,10.67,0.8,2.11,4.32,0
107,5,27.32,10.54,0.75,1.86,4.97,1
108,5,25.61,9.52,0.83,1.76,4.88,1
109,5,27.69,11.61,0.77,2.22,4.24,1
110,5,22.87,11.52,0.78,2.13,3.78,0
111,5,19.68,10.56,0.65,1.56,4.34,0
112,5,27.03,10.38,0.84,2.21,4.55,1
113,5,28.11,10.15,0.64,2.05,5.38,1
114,5,21.75,13.39,0.69,2.12,4.39,0
115,5,25.06,10.63,0.72,2.13,4.37,1
116,5,22.86,10.51,0.69,2.09,5.33,0
117,5,27.15,11.5,0.62,1.89,4.47,1
118,5,19.99,11.81,0.67,1.77,4.13,0
119,5,22.67,12.5,0.62,1.97,4.39,0
120,5,19.47,12.91,0.64,1.67,4.9,0
121,5,20.41,11.49,0.81,1.6,4.39,0
122,5,23.24,13.2,0.74,1.7,3.9,0
123,5,22.8,11.94,0.72,1.94,4.7,0
124,5,22.23,10.97,0.72,1.92,3.82,0
125,5,23.32,10.07,0.83,2.11,5.19,1
126,5,28.13,9.36,0.61,1.77,4.38,1
127,5,24.69,13.53,0.82,1.79,4.85,1
128,5,23.39,10.71,0.56,1.95,5.25,0
129,5,20.63,12.71,0.72,2.06,5.08,0
130,5,27.44,12.94,0.82,1.66,4.53,1
131,5,22.11,12.07,0.68,1.75,4.38,0
132,5,21.28,12.56,0.72,1.89,5.39,0
133,5,23.37,11.22,0.75,1.86,4.5,0
134,5,22.76,9.2,0.64,2.12,4.77,0
135,5,25.15,11.07,0.62,2.05,4.87,1
136,5,20.75,12.85,0.59,2.23,5.44,0
137,5,28.1,10.01,0.79,2.0,5.11,1
138,5,24.26,12.76,0.81,2.04,4.1,1
139,5,19.48,11.5,0.56,1.86,4.95,0
140,5,20.62,11.51,0.63,2.04,4.12,0
141,5,20.49,12.46,0.6,1.83,4.64,0
142,5,19.61,9.88,0.69,1.89,4.73,0
143,5,18.93,10.02,0.71,2.02,3.95,0
144,5,23.65,10.66,0.82,1.92,4.51,1
145,5,23.86,12.3,0.84,1.96,3.69,1
146,5,26.53,12.1,0.74,2.04,5.23,1
147,5,19.41,11.83,0.77,2.18,4.92,0
148,5,19.58,9.62,0.78,1.66,5.04,0
149,5,19.05,10.58,0.82,1.53,4.82,0
150,5,20.78,13.41,0.6,1.71,5.22,0
151,5,20.7,10.14,0.73,2.06,5.08,0
152,5,27.85,9.63,0.78,1.99,4.24,1
153,5,27.77,13.39,0.8,1.61,5.52,1
154,5,25.87,10.82,0.8,1.65,4.88,1
155,5,21.05,13.69,0.81,1.69,3.84,0
156,5,28.07,12.35,0.7,1.93,4.5,1
157,5,27.86,11.45,0.72,1.58,4.08,1
158,5,21.62,11.14,0.66,1.58,5.32,0
159,5,25.11,13.07,0.62,2.27,3.91,1
160,5,21.3,11.7,0.78,2.06,3.87,0
161,5,20.79,12.9,0.61,1.89,4.23,0
162,5,21.11,12.03,0.71,1.78,5.41,0
163,5,25.98,12.64,0.82,2.19,4.54,1
164,5,21.67,9.54,0.68,1.78,5.3,0
165,5,20.68,12.69,0.58,2.25,4.54,0
166,5,22.01,13.7,0.81,1.7,4.21,0
167,5,26.0,11.97,0.78,1.62,4.66,1
168,5,21.57,12.69,0.67,1.79,4.64,0
169,5,26.55,11.23,0.8,2.04,5.21,1
170,5,19.95,12.27,0.61,1.88,4.08,0
171,5,19.87,9.93,0.74,1.7,4.11,0
172,5,26.86,12.55,0.56,1.85,4.36,1
173,5,25.19,10.94,0.61,1.74,4.42,1
174,5,24.54,9.54,0.65,2.26,4.16,0
175,5,25.08,9.77,0.6,2.1,4.47,1
176,5,19.72,12.48,0.75,2.06,5.09,0
177,5,21.01,10.1,0.57,1.57,3.81,0
178,5,20.83,13.13,0.77,2.23,5.49,0
179,5,20.07,12.94,0.73,1.53,4.77,0
180,5,28.12,10.38,0.68,1.95,4.18,1
181,5,24.36,11.67,0.56,1.89,5.08,1
182,5,21.4,10.2,0.8,1.52,4.13,0
183,5,20.04,11.76,0.68,2.04,4.96,0
184,5,26.5,9.41,0.82,1.66,5.23,1
185,5,20.96,11.68,0.6,1.76,4.42,0
186,5,21.49,13.46,0.63,1.69,4.98,0
187,5,25.33,12.6,0.78,2.02,4.49,1
188,5,26.39,10.99,0.6,2.07,3.97,1
189,5,25.86,11.97,0.56,1.85,4.83,1
190,5,27.41,13.62,0.58,1.83,3.72,1
191,5,19.44,9.39,0.8,1.74,4.63,0
192,5,20.4,9.92,0.57,1.96,3.79,0
193,5,23.33,13.17,0.63,2.18,4.93,0
194,5,19.06,13.43,0.76,1.88,4.17,0
195,5,20.89,9.29,0.83,2.22,4.55,0
196,5,23.32,9.75,0.66,2.28,3.82,0
197,5,23.82,10.78,0.71,1.62,5.06,1
198,5,27.75,12.89,0.77,1.88,4.75,1
199,5,22.48,13.16,0.63,1.8,4.68,0
200,5,24.9,10.15,0.56,1.81,4.17,0
201,5,22.46,11.31,0.62,1.61,5.39,0
202,5,23.67,12.72,0.83,1.77,3.91,1
203,5,19.33,9.9,0.75,1.97,3.91,0
204,5,20.01,12.5,0.68,1.85,5.16,0
205,5,25.27,9.78,0.71,1.88,5.04,1
206,5,20.86,13.57,0.72,1.84,4.98,0
207,5,28.06,13.26,0.76,1.62,4.25,1
208,5,22.33,10.37,0.59,1.53,3.78,0
209,5,26.18,11.97,0.69,1.86,4.62,1
210,5,19.56,10.91,0.73,1.77,4.21,0
211,5,24.04,12.87,0.76,2.03,4.9,1
212,5,20.29,12.39,0.66,2.26,4.23,0
213,5,19.12,13.09,0.73,1.93,4.88,0
214,5,21.83,11.81,0.58,2.17,5.25,0
215,5,20.51,11.26,0.58,1.92,5.43,0
216,5,22.19,11.49,0.64,1.53,4.7,0
217,5,23.01,12.71,0.81,1.67,4.06,0
218,5,26.48,11.2,0.78,1.99,4.98,1
219,5,27.18,13.39,0.61,1.62,4.47,1
220,5,25.14,13.65,0.61,1.97,4.4,1
221,5,19.33,11.01,0.76,1.54,4.48,0
222,5,25.94,13.34,0.71,1.95,5.42,1
223,5,26.59,9.24,0.7,1.6,4.08,1
224,5,26.14,10.86,0.77,1.86,3.79,1
225,5,27.04,10.58,0.59,1.83,4.14,1
226,5,27.01,11.25,0.63,2.0,5.23,1
227,5,27.78,12.16,0.79,1.89,5.44,1
228,5,25.06,13.24,0.69,2.17,4.45,1
229,5,22.93,12.66,0.75,1.85,4.25,0
230,5,27.89,12.93,0.83,1.87,3.95,1
231,5,20.72,12.38,0.68,1.69,4.88,0
232,5,21.53,9.56,0.6,1.57,5.37,0
233,5,24.94,9.51,0.83,2.22,5.47,1
234,5,23.56,12.45,0.78,1.52,4.73,1
235,5,26.52,12.55,0.78,2.1,5.35,1
236,5,27.67,12.64,0.74,1.58,4.1,1
237,5,20.32,12.76,0.68,1.81,5.16,0
238,5,24.18,10.25,0.77,2.02,4.41,1
239,5,27.07,11.0,0.76,2.26,5.36,1
240,5,27.96,10.51,0.6,1.86,4.64,1
241,5,25.41,10.88,0.66,1.9,5.1,1
242,5,24.25,11.17,0.76,2.23,4.98,1
243,5,19.94,11.83,0.82,1.95,4.66,0
244,5,20.37,13.16,0.64,1.53,3.8,0
245,5,24.71,13.62,0.65,2.23,4.35,1
246,5,25.43,9.8,0.62,1.58,4.12,1
247,5,25.38,12.44,0.74,1.71,4.03,1
248,5,25.96,12.46,0.68,1.83,4.58,1
249,5,26.46,9.94,0.8,2.26,3.84,1
250,5,22.57,13.06,0.63,1.57,4.79,0
251,5,26.11,9.66,0.78,1.83,4.73,1
252,5,26.06,10.0,0.58,1.61,4.84,1
253,5,21.4,10.16,0.64,2.2,4.5,0
254,5,22.48,11.86,0.7,2.22,3.81,0
255,5,27.35,10.99,0.59,1.98,4.03,1
256,5,19.39,10.83,0.68,2.14,4.96,0
257,5,20.68,10.39,0.74,1.56,4.73,0
258,5,26.59,13.6,0.59,1.56,4.92,1
259,5,25.17,10.02,0.8,2.11,5.27,1
260,5,20.67,12.15,0.72,1.56,4.16,0
261,5,25.78,9.93,0.67,2.26,4.84,1
262,5,18.8,9.8,0.65,2.19,4.03,0
263,5,21.12,11.41,0.74,1.79,5.15,0
264,5,20.64,10.36,0.75,1.63,4.28,0
265,5,19.46,9.36,0.7,1.85,4.22,0
266,5,21.29,10.53,0.77,1.85,4.58,0
267,5,19.54,11.64,0.82,1.76,4.15,0
268,5,25.96,11.88,0.77,1.59,4.29,1
269,5,22.18,10.71,0.76,1.66,5.01,0
270,5,24.45,11.07,0.69,1.65,4.74,1
271,5,22.81,12.93,0.84,1.81,5.25,1
272,5,22.2,13.4,0.61,2.13,5.1,0
273,5,26.27,10.03,0.83,2.1,5.39,1
274,5,20.04,12.48,0.69,2.17,4.24,0
275,5,26.46,12.45,0.56,1.53,3.85,1
276,5,22.84,10.99,0.66,1.97,5.14,0
277,5,19.77,9.63,0.74,1.82,4.72,0
278,5,27.16,13.7,0.63,2.15,3.79,1
279,5,22.59,9.45,0.62,2.12,5.52,0
280,5,23.68,11.47,0.67,2.01,4.84,1
281,5,23.01,11.25,0.78,1.8,5.0,1
282,5,19.59,12.51,0.69,2.08,4.15,0
283,5,19.05,11.28,0.65,1.87,5.35,0
284,5,24.38,12.71,0.57,1.62,3.96,0
285,5,19.45,9.59,0.67,1.63,5.0,0
286,5,26.89,11.3,0.79,1.58,4.55,1
287,5,21.97,11.3,0.57,2.23,5.45,0
288,5,20.81,13.03,0.83,1.53,4.17,0
289,5,19.68,13.1,0.62,1.95,4.14,0
290,5,28.19,13.21,0.8,1.96,4.73,1
291,5,22.78,12.56,0.84,1.83,5.22,1
292,5,19.3,9.21,0.63,1.94,4.92,0
293,5,22.77,13.69,0.77,1.61,5.03,1
294,5,26.24,11.03,0.84,1.76,4.77,1
295,5,27.6,10.27,0.79,1.67,4.0,1
296,5,22.58,12.67,0.77,1.88,5.44,1
297,5,24.6,9.6,0.67,2.16,3.69,0
298,5,22.76,12.21,0.78,1.57,5.35,1
299,5,27.96,11.77,0.83,1.59,4.71,1
300,5,25.64,10.1,0.67,1.75,3.78,1
301,5,19.97,10.78,0.73,1.68,4.3,0
302,5,24.68,10.87,0.72,2.19,4.69,1
303,5,23.16,10.29,0.8,1.56,4.74,1
304,5,20.87,9.69,0.83,1.97,4.23,0
305,5,26.27,13.47,0.69,1.81,4.81,1
306,5,26.67,11.79,0.75,2.06,4.48,1
307,5,21.02,13.37,0.65,2.02,4.43,0
308,5,28.14,9.48,0.68,1.95,4.65,1
309,5,23.65,12.2,0.56,1.6,4.55,0
310,5,20.38,13.17,0.61,1.73,5.41,0
311,5,19.34,12.8,0.56,2.02,4.04,0
312,5,24.99,12.96,0.66,1.8,3.7,1
313,5,21.61,9.4,0.72,1.83,5.23,0
314,5,21.77,12.77,0.69,2.14,5.16,0
315,5,26.77,11.58,0.71,1.97,4.03,1
316,5,26.75,11.89,0.66,1.61,4.75,1
317,5,27.83,10.03,0.73,1.71,3.94,1
318,5,24.28,13.67,0.79,2.0,4.21,1
319,5,26.79,13.37,0.77,2.04,4.93,1
320,5,27.58,12.75,0.71,2.03,4.51,1
321,5,24.23,9.29,0.6,1.71,4.47,0
322,5,21.19,10.18,0.74,1.53,4.18,0
323,5,28.12,13.05,0.56,1.93,3.84,1
324,5,22.1,12.59,0.72,1.58,4.83,0
325,5,19.48,12.48,0.8,1.73,4.44,0
326,5,24.47,9.96,0.57,2.21,4.48,0
327,5,24.74,9.9,0.77,1.97,3.75,1
328,5,26.0,12.71,0.74,2.01,3.76,1
329,5,23.35,12.48,0.58,1.78,4.03,0
330,5,28.18,11.01,0.82,1.77,5.11,1
331,5,23.36,9.91,0.58,1.73,4.97,0
332,5,26.18,11.64,0.81,1.71,4.4,1
333,5,20.22,11.4,0.7,2.18,5.19,0
334,5,27.68,13.27,0.82,1.68,4.48,1
335,5,22.73,10.63,0.71,2.05,4.41,0
336,5,27.93,13.7,0.73,1.68,4.51,1
337,5,27.46,10.78,0.61,1.53,4.04,1
338,5,22.39,10.13,0.74,1.64,4.85,0
339,5,26.75,10.69,0.65,1.61,4.08,1
340,5,21.38,12.39,0.75,2.2,4.27,0
341,5,26.44,10.16,0.75,1.75,4.36,1
342,5,23.63,13.41,0.63,1.58,5.48,1
343,5,27.99,12.74,0.67,1.7,4.06,1
344,5,20.25,9.44,0.76,1.53,3.82,0
345,5,19.83,9.28,0.71,1.67,4.2,0
346,5,22.4,10.39,0.64,2.22,3.69,0
347,5,27.93,13.75,0.81,1.98,4.43,1
348,5,27.88,10.27,0.79,1.92,5.05,1
349,5,21.02,13.79,0.82,2.13,5.35,0
350,5,23.08,11.52,0.6,1.68,5.44,0
351,5,27.92,9.37,0.82,1.75,3.97,1
352,5,25.15,10.46,0.62,1.78,5.09,1
353,5,23.73,11.85,0.58,2.1,4.92,0
354,5,19.85,10.58,0.58,2.17,4.25,0
355,5,21.5,12.15,0.68,2.18,4.06,0
356,5,25.33,10.7,0.79,1.63,3.97,1
357,5,24.3,12.84,0.82,1.63,5.26,1
358,5,22.7,12.27,0.73,2.13,5.11,0
359,5,23.95,12.77,0.63,1.77,4.59,1
360,5,24.58,9.45,0.74,1.57,4.67,1
361,5,23.41,10.03,0.64,2.14,3.92,0
362,5,23.61,12.45,0.65,1.93,4.44,0
363,5,22.2,13.15,0.72,2.25,4.82,0
364,5,21.88,12.72,0.84,2.26,3.79,0
365,5,18.88,9.22,0.65,2.08,4.91,0
366,5,22.94,10.5,0.58,2.01,4.08,0
367,5,19.07,9.81,0.81,2.14,5.28,0
368,5,24.51,13.48,0.65,2.28,4.88,1
369,5,19.05,10.91,0.77,1.87,4.19,0
370,5,19.06,9.69,0.72,2.24,3.85,0
371,5,26.02,11.72,0.79,1.68,4.96,1
372,5,21.51,10.23,0.76,1.93,3.78,0
373,5,23.09,12.6,0.81,1.65,4.59,1
374,5,20.68,11.51,0.75,1.85,4.76,0
375,5,22.28,9.79,0.75,2.14,4.95,0
376,5,20.55,12.86,0.73,1.78,5.13,0
377,5,21.43,12.72,0.79,1.93,5.41,0
378,5,26.08,12.59,0.79,1.98,4.89,1
379,5,20.94,11.74,0.65,2.06,4.09,0
380,5,22.11,11.25,0.84,1.53,5.35,1
381,5,21.28,12.63,0.73,1.63,4.24,0
382,5,26.92,13.39,0.7,1.71,5.09,1
383,5,24.34,11.25,0.72,2.13,4.16,1
384,5,21.44,13.28,0.75,2.04,3.83,0
385,5,23.59,13.43,0.74,1.99,5.32,1
386,5,24.08,11.15,0.67,2.1,3.74,0
387,5,20.5,12.64,0.58,2.21,3.9,0
388,5,28.02,9.43,0.8,1.71,3.87,1
389,5,26.04,11.87,0.75,1.82,3.68,1
390,5,24.08,9.55,0.8,1.78,4.88,1
391,5,21.35,10.95,0.6,1.64,4.13,0
392,5,25.15,13.11,0.83,1.98,4.46,1
393,5,22.21,11.38,0.68,1.9,4.4,0
394,5,27.22,13.56,0.83,1.62,4.12,1
395,5,27.07,13.46,0.82,1.58,4.98,1
396,5,24.9,13.67,0.79,1.79,5.22,1
397,5,21.24,13.34,0.74,1.9,5.01,0
398,5,21.8,10.27,0.83,1.63,5.46,0
399,5,27.04,12.11,0.63,2.22,4.77,1
400,5,25.92,11.86,0.75,1.73,5.19,1
401,5,22.34,9.35,0.81,1.59,4.89,0
402,5,25.37,11.78,0.79,1.61,3.71,1
403,5,26.65,10.28,0.59,1.61,3.82,1
404,5,23.5,9.28,0.76,2.15,3.94,0
405,5,27.29,9.22,0.82,2.06,5.5,1
406,5,27.92,13.61,0.68,1.98,4.24,1
407,5,21.86,10.46,0.66,1.89,4.2,0
408,5,21.47,12.92,0.58,1.93,4.46,0
409,5,19.73,9.91,0.57,1.97,5.46,0
410,5,25.42,13.04,0.62,1.59,4.29,1
411,5,20.45,12.45,0.77,1.55,4.04,0
412,5,26.42,12.91,0.77,1.9,5.25,1
413,5,21.87,9.65,0.63,1.6,3.73,0
414,5,24.5,13.4,0.82,1.6,5.23,1
415,5,27.26,13.02,0.66,1.91,4.66,1
416,5,24.84,9.65,0.66,2.14,4.24,1
417,5,24.82,12.83,0.64,1.67,5.21,1
418,5,24.64,12.72,0.83,1.95,3.92,1
419,5,24.53,10.61,0.72,2.05,5.2,1
420,5,25.35,9.31,0.82,2.04,4.97,1
421,5,18.8,12.21,0.58,2.16,4.03,0
422,5,24.32,9.7,0.58,1.55,3.7,0
423,5,22.86,9.9,0.81,1.96,4.7,0
424,5,19.26,12.27,0.68,1.67,5.12,0
425,5,25.96,12.73,0.65,1.54,4.82,1
426,5,23.85,10.93,0.76,2.19,3.69,0
427,5,27.48,10.78,0.57,1.62,4.56,1
428,5,27.73,10.79,0.8,2.18,5.16,1
429,5,22.81,11.28,0.63,1.69,5.19,0
430,5,19.02,10.36,0.68,1.66,3.76,0
431,5,19.59,10.17,0.75,1.64,3.72,0
432,5,23.12,12.56,0.61,1.63,4.67,0
433,5,27.59,12.82,0.59,2.04,4.49,1
434,5,23.86,9.43,0.65,1.92,5.01,1
435,5,24.19,10.55,0.64,1.96,5.18,1
436,5,24.16,9.85,0.66,1.56,5.08,1
437,5,25.14,11.68,0.73,1.96,3.83,1
438,5,19.46,13.61,0.83,2.1,4.39,0
439,5,26.61,12.96,0.6,1.98,4.73,1
440,5,21.61,9.76,0.68,1.96,5.2,0
441,5,21.57,12.94,0.77,1.82,4.85,0
442,5,21.21,10.97,0.79,1.6,5.43,0
443,5,22.44,9.8,0.63,1.94,4.94,0
444,5,21.21,12.98,0.76,2.13,4.62,0
445,5,24.79,13.47,0.73,2.19,5.25,1
446,5,25.9,10.86,0.82,1.84,4.1,1
447,5,22.16,11.87,0.56,1.56,3.78,0
448,5,23.12,11.05,0.73,1.91,4.68,0
449,5,25.48,9.73,0.58,1.85,3.88,1
450,5,20.01,9.76,0.82,2.2,4.2,0
451,5,20.52,13.33,0.66,2.26,4.34,0
452,5,23.76,10.79,0.72,1.86,4.61,1
453,5,26.83,9.75,0.56,1.63,5.13,1
454,5,22.19,9.92,0.72,1.88,5.48,0
455,5,27.11,12.11,0.78,1.58,4.14,1
456,5,26.4,12.97,0.63,1.93,5.22,1
457,5,23.44,11.57,0.7,1.98,5.28,1
458,5,26.97,9.49,0.56,2.06,4.09,1
459,5,26.7,11.44,0.65,1.58,4.91,1
460,5,25.98,12.33,0.81,1.52,3.84,1
461,5,23.72,10.53,0.67,1.95,4.51,0
462,5,27.8,10.19,0.8,1.54,5.3,1
463,5,26.01,12.74,0.56,1.97,5.26,1
464,5,22.93,10.65,0.71,1.55,4.22,0
465,5,25.98,10.0,0.65,1.98,4.08,1
466,5,24.35,13.79,0.6,1.6,3.76,0
467,5,28.08,13.59,0.79,1.53,5.17,1
468,5,24.24,11.21,0.81,1.95,5.33,1
469,5,21.6,9.91,0.8,2.28,5.14,0
470,5,25.92,13.01,0.69,1.63,3.85,1
471,5,25.57,13.73,0.74,1.99,3.87,1
472,5,28.11,10.05,0.63,2.15,3.92,1
473,5,26.44,11.73,0.57,2.16,4.92,1
474,5,27.66,10.97,0.75,1.97,5.09,1
475,5,25.79,9.86,0.66,1.81,4.64,1
476,5,19.71,12.97,0.72,1.85,4.21,0
477,5,22.79,12.55,0.74,2.14,5.11,1
478,5,19.17,11.79,0.68,2.28,4.84,0
479,5,21.84,12.23,0.63,1.78,5.31,0
480,5,26.43,13.18,0.65,2.06,4.11,1
481,5,26.29,12.48,0.73,1.68,4.26,1
482,5,24.32,11.77,0.72,1.76,4.61,1
483,5,27.95,10.52,0.81,1.53,3.73,1
484,5,27.92,9.68,0.7,1.98,4.3,1
485,5,23.06,9.96,0.57,2.2,4.0,0
486,5,26.94,10.88,0.58,1.96,4.1,1
487,5,26.68,13.24,0.75,1.98,3.86,1
488,5,21.19,12.64,0.73,1.92,5.41,0
489,5,19.63,12.12,0.7,1.63,4.16,0
490,5,26.17,11.07,0.66,2.06,3.85,1
491,5,27.81,11.97,0.72,1.74,4.0,1
492,5,24.2,12.23,0.81,1.77,5.5,1
493,5,25.17,11.62,0.57,1.8,4.24,1
494,5,24.65,9.33,0.56,2.07,3.73,0
495,5,24.51,11.3,0.72,1.75,5.2,1
496,5,21.69,9.21,0.7,1.58,4.29,0
497,5,27.59,11.72,0.64,1.79,3.82,1
498,5,24.87,9.75,0.72,1.99,4.16,1
499,5,19.87,11.99,0.65,1.99,5.4,0
500,5,25.48,13.16,0.56,2.12,5.25,1
501,5,22.87,12.7,0.72,1.67,4.95,1
502,5,25.2,9.33,0.82,1.52,5.28,1
503,5,19.9,12.75,0.67,1.91,5.13,0
504,5,25.37,12.13,0.77,2.16,5.12,1
505,5,26.32,13.22,0.77,2.06,3.8,1
506,5,25.38,10.37,0.83,2.07,4.78,1
507,5,23.78,12.47,0.69,1.59,5.03,1
508,5,24.52,12.55,0.83,1.92,4.33,1
509,5,20.02,11.02,0.79,2.16,4.21,0
510,5,25.52,9.25,0.7,1.55,4.51,1
511,5,27.2,13.47,0.61,1.52,3.84,1
512,5,28.16,10.03,0.73,1.65,4.82,1
513,5,23.65,12.54,0.6,2.07,4.21,0
514,5,20.5,12.08,0.74,1.83,4.23,0
515,5,20.48,9.45,0.8,1.93,4.52,0
516,5,20.55,13.41,0.58,1.63,3.93,0
517,5,21.98,10.72,0.84,1.71,5.21,0
518,5,26.73,10.55,0.81,1.82,5.24,1
519,5,24.6,10.0,0.69,2.01,4.08,1
520,5,22.98,13.53,0.6,2.04,3.88,0
521,5,23.82,10.45,0.79,1.56,5.46,1
522,5,25.29,9.32,0.66,1.81,5.46,1
523,5,25.05,13.66,0.69,2.05,4.09,1
524,5,27.46,9.8,0.84,1.82,5.13,1
525,5,20.95,13.69,0.63,2.11,4.75,0
526,5,25.29,12.95,0.64,2.24,4.58,1
527,5,22.32,13.32,0.61,1.95,4.68,0
528,5,27.68,9.35,0.75,1.56,4.36,1
529,5,26.75,13.46,0.57,2.19,4.8,1
530,5,22.34,12.53,0.67,2.06,5.15,0
531,5,22.18,13.44,0.68,1.74,4.78,0
532,5,20.07,11.5,0.67,2.08,3.76,0
533,5,26.36,10.65,0.78,2.16,4.17,1
534,5,19.06,11.48,0.8,1.83,5.48,0
535,5,24.36,10.61,0.59,1.87,5.38,1
536,5,26.54,12.95,0.79,2.21,4.55,1
537,5,27.63,10.28,0.58,1.71,4.76,1
